,Plant.ID,treatment,year,infl1,infl2,infl3,infl4,infl5,infl6,infl7,infl8
100,SPLEN16,Pollen suppl.,2022,3,4,,,,,,
101,SPLEN17,Pollen suppl.,2022,4,5,6,0,0,,,
102,SPLEN18,Pollen suppl.,2022,2,1,7,0,,0,,
87,SPLEN11,Open,2022,3,2,0,,,,,
88,SPLEN12,Open,2022,3,0,0,,,,,
89,SPLEN13,Open,2022,5,3,2,5,,,,
90,SPLEN14,Open,2022,3,3,4,,,,,
91,SPLEN15,Open,2022,1,0,,,,,,
92,SPLEN16,Open,2022,4,,,,,,,
93,SPLEN17,Open,2022,5,0,0,0,0,,,
94,SPLEN18,Open,2022,3,0,0,0,,,,
103,SPLEN11,Birds & insects,2022,2,0,0,,,,,
104,SPLEN12,Birds & insects,2022,0,0,,,,,,
105,SPLEN13,Birds & insects,2022,0,5,,,,,,
106,SPLEN14,Birds & insects,2022,4,5,,,,,,
107,SPLEN15,Birds & insects,2022,0,0,0,,,,,
108,SPLEN16,Birds & insects,2022,0,0,0,0,0,,,
109,SPLEN17,Birds & insects,2022,4,5,0,6,0,0,0,0
110,SPLEN18,Birds & insects,2022,5,4,3,0,0,0,,
111,SPLEN11,Insects only,2022,2,0,0,,,,,
112,SPLEN12,Insects only,2022,0,1,,,,,,
113,SPLEN13,Insects only,2022,6,5,,,,,,
114,SPLEN14,Insects only,2022,4,0,0,0,,,,
115,SPLEN15,Insects only,2022,0,,,,,,,
116,SPLEN16,Insects only,2022,0,0,0,0,,,,
117,SPLEN17,Insects only,2022,1,3,0,0,0,0,,
118,SPLEN18,Insects only,2022,0,0,0,0,,,,
119,SPLEN11,Mammals only,2022,2,1,0,,,,,
120,SPLEN12,Mammals only,2022,0,3,0,,,,,
121,SPLEN13,Mammals only,2022,5,3,3,0,,,,
122,SPLEN14,Mammals only,2022,0,2,3,,,,,
123,SPLEN15,Mammals only,2022,0,0,0,0,,,,
124,SPLEN16,Mammals only,2022,0,0,0,0,,,,
125,SPLEN17,Mammals only,2022,5,0,0,0,0,0,0,0
126,SPLEN18,Mammals only,2022,0,0,0,0,0,,,
