,Plant.ID,treatment,Year,infl.1,infl.2,infl.3,infl.4,infl.5,infl.6,infl.7,infl.8,infl.9,infl.10,infl.11,infl.12,infl.13,infl.14,infl.15,infl.16,infl.17,infl.18
164,SUB28,Geitonogamy,2022,0,0,0,0,,,,,,,,,,,,,,
165,SUB29,Geitonogamy,2022,0,0,0,0,0,,,,,,,,,,,,,
166,SUB33,Geitonogamy,2022,0,0,0,0,,,,,,,,,,,,,,
167,SUB38,Geitonogamy,2022,0,0,0,0,,,,,,,,,,,,,,
168,SUB46,Geitonogamy,2022,0,0,0,0,0,0,,,,,,,,,,,,
169,SUB48,Geitonogamy,2022,0,0,0,,,,,,,,,,,,,,,
170,SUB49A,Geitonogamy,2022,1,1,0,0,0,0,,,,,,,,,,,,
171,SUB49B,Geitonogamy,2022,0,0,,,,,,,,,,,,,,,,
172,SUB52,Geitonogamy,2022,0,,,,,,,,,,,,,,,,,
191,SUB23A,Pollen suppl.,2022,3,0,,0,0,0,,,,,,,,,,,,
192,SUB23B,Pollen suppl.,2022,3,1,0,0,0,0,0,0,,,,,,,,,,
193,SUB28,Pollen suppl.,2022,0,0,0,0,0,0,0,,,,,,,,,,,
194,SUB29,Pollen suppl.,2022,1,1,4,5,0,0,0,0,,,,,,,,,,
195,SUB33,Pollen suppl.,2022,0,0,0,0,0,0,0,0,,,,,,,,,,
196,SUB39,Pollen suppl.,2022,0,0,0,0,0,0,0,0,0,0,,,,,,,,
197,SUB46,Pollen suppl.,2022,0,0,0,0,0,0,0,0,,,,,,,,,,
198,SUB48,Pollen suppl.,2022,3,1,0,0,0,0,0,,,,,,,,,,,
199,SUB49A,Pollen suppl.,2022,1,3,0,1,1,1,1,3,2,0,0,0,0,0,0,0,,
200,SUB49B,Pollen suppl.,2022,1,1,3,1,0,,,,,,,,,,,,,
201,SUB52,Pollen suppl.,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
173,SUB21,Open,2022,0,0,0,0,0,,,,,,,,,,,,,
174,SUB23A,Open,2022,0,0,0,0,0,0,0,,,,,,,,,,,
175,SUB23B,Open,2022,2,1,0,0,0,0,0,0,0,0,0,,,,,,,
176,SUB25,Open,2022,1,2,1,2,,,,,,,,,,,,,,
177,SUB27,Open,2022,,,,,,,,,,,,,,,,,,
178,SUB28,Open,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
179,SUB29,Open,2022,1,1,0,0,0,0,0,0,0,,,,,,,,,
180,SUB32,Open,2022,0,0,0,0,0,0,0,0,0,0,,,,,,,,
181,SUB33,Open,2022,2,0,0,0,0,0,0,0,,,,,,,,,,
182,SUB38,Open,2022,0,0,0,0,0,0,0,,,,,,,,,,,
183,SUB39,Open,2022,0,0,0,0,0,0,0,0,0,0,,,,,,,,
184,SUB42,Open,2022,0,0,0,0,0,0,0,0,0,,,,,,,,,
185,SUB45,Open,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,SUB46,Open,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
187,SUB48,Open,2022,2,1,1,,,,,,,,,,,,,,,
188,SUB49A,Open,2022,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,,,
189,SUB49B,Open,2022,1,1,0,0,1,0,0,0,0,0,,,,,,,,
190,SUB52,Open,2022,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
202,SUB22,Birds & insects,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
203,SUB24,Birds & insects,2022,1,0,0,0,0,0,0,0,0,0,0,,,,,,,
204,SUB26,Birds & insects,2022,1,1,2,2,0,0,0,0,0,0,0,0,0,,,,,
205,SUB31,Birds & insects,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
206,SUB34,Birds & insects,2022,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
207,SUB37,Birds & insects,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
208,SUB41,Birds & insects,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
209,SUB43,Birds & insects,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
210,SUB47,Birds & insects,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
211,SUB50,Birds & insects,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
212,SUB22,Insects only,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
213,SUB24,Insects only,2022,1,1,2,1,2,1,0,0,0,0,0,0,,,,,,
214,SUB26,Insects only,2022,1,1,1,3,3,3,2,0,0,0,0,0,0,0,,,,
215,SUB31,Insects only,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
216,SUB34,Insects only,2022,0,0,0,0,0,0,0,0,,,,,,,,,,
217,SUB37,Insects only,2022,0,0,0,0,0,0,0,0,0,0,,,,,,,,
218,SUB41,Insects only,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
219,SUB43,Insects only,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
220,SUB47,Insects only,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
221,SUB50,Insects only,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,SUB21,Mammals only,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,SUB25,Mammals only,2022,3,2,3,4,0,0,0,0,0,0,,,,,,,,
224,SUB27,Mammals only,2022,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
225,SUB32,Mammals only,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
226,SUB35,Mammals only,2022,1,0,0,0,0,,,,,,,,,,,,,
227,SUB36,Mammals only,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
228,SUB42,Mammals only,2022,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
229,SUB44,Mammals only,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,SUB48,Mammals only,2022,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,SUB51,Mammals only,2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
